"","ds","tv_spend","digital_spend","social_spend","search_spend","radio_spend","nps_score","type","solID","cluster","top_sol"
"15265",2023-07-16,30646.0036466093,17199.4038229377,6306.40129437538,1910.06438558951,2827.76880060421,60.2936010693397,"adstockedMedia","1_41_1",3,FALSE
"15266",2023-07-23,51238.73738628,21132.2796973771,3448.48084177275,1973.49647430624,2938.59196422801,54.9627943414466,"adstockedMedia","1_41_1",3,FALSE
"15267",2023-07-30,42723.1663870194,14100.5813242016,2337.02241501712,3942.22133663815,2411.66604945651,54.8179161959163,"adstockedMedia","1_41_1",3,FALSE
"15268",2023-08-06,39903.4953430543,13697.1684854151,3562.73351763378,2801.5186470419,1669.5888234732,41.5031077552255,"adstockedMedia","1_41_1",3,FALSE
"15269",2023-08-13,48254.458819409,11266.4118241494,7404.87201956146,2367.04252353305,1941.37496624591,43.442160247357,"adstockedMedia","1_41_1",3,FALSE
"15270",2023-08-20,38386.1878811179,7821.12454645004,3078.02573156639,2307.61752775141,5318.66219053267,32.1403567643063,"adstockedMedia","1_41_1",3,FALSE
"15271",2023-08-27,30127.5976102085,25471.5482640491,5926.56203888048,5916.47344864054,3272.87381368654,41.0851646822579,"adstockedMedia","1_41_1",3,FALSE
"15272",2023-09-03,35370.3067984195,22349.1752806475,3687.59133679287,4941.9315626533,3013.53770545816,33.7994410008789,"adstockedMedia","1_41_1",3,FALSE
"15273",2023-09-10,39604.1949700925,18881.4205521949,3327.08495561651,2873.13791981481,2144.3115397082,61.254744783028,"adstockedMedia","1_41_1",3,FALSE
"15274",2023-09-17,47701.1620878062,13298.6081132204,4452.60211392495,3724.55136586408,3109.53193494806,48.8610357955144,"adstockedMedia","1_41_1",3,FALSE
"15275",2023-09-24,50478.4088177774,8134.3722700197,2943.36448868731,1473.44522513703,6022.89026665699,48.9942366947285,"adstockedMedia","1_41_1",3,FALSE
"15276",2023-10-01,50208.6077184056,16099.5364908096,3631.60491045059,1894.28995148106,4850.45234597823,44.307851568171,"adstockedMedia","1_41_1",3,FALSE
"15277",2023-10-08,42633.1259529618,11869.9525351855,2579.48516932952,5486.20092008226,5174.23704818903,48.9288417358245,"adstockedMedia","1_41_1",3,FALSE
"15278",2023-10-15,44290.5122278796,13566.8865541131,2824.29597941794,1562.74416741103,4806.89523390616,76.6011673483608,"adstockedMedia","1_41_1",3,FALSE
"15279",2023-10-22,45967.9879865314,9394.13842641903,6531.32882578121,4159.53131973305,4137.26208163257,46.2296408293772,"adstockedMedia","1_41_1",3,FALSE
"15280",2023-10-29,39545.4146922267,11927.1121852913,5544.6228487098,1026.59462037154,5394.39984493823,38.9252737248642,"adstockedMedia","1_41_1",3,FALSE
"15281",2023-11-05,61977.1104710392,9149.47819326419,7328.00545748275,7626.6064287655,4634.48355940609,52.3786719054145,"adstockedMedia","1_41_1",3,FALSE
"15282",2023-11-12,59702.3072533151,8503.73876487107,4084.28776057067,3015.21817590431,3244.07375808545,17.0537850966962,"adstockedMedia","1_41_1",3,FALSE
"15283",2023-11-19,47421.5722918834,11604.8309602194,6252.60266343269,3920.25202928332,2906.52322039712,44.5431198075779,"adstockedMedia","1_41_1",3,FALSE
"15284",2023-11-26,53070.9455634245,6089.59630137682,2514.643637156,3462.30239927642,3022.21551763676,42.0528892259201,"adstockedMedia","1_41_1",3,FALSE
"15285",2023-12-03,58909.5648713054,4624.30871349967,4209.11486764205,3451.20932361406,2257.7522245184,34.3983551018115,"adstockedMedia","1_41_1",3,FALSE
"15286",2023-12-10,57025.098206513,6283.64700594612,6524.48643860116,3791.31088540161,2481.00610490219,51.6159616346803,"adstockedMedia","1_41_1",3,FALSE
"15287",2023-12-17,50177.3897082864,8782.48938836765,2566.7018825138,1145.72352677268,2421.39429910628,47.8758261349278,"adstockedMedia","1_41_1",3,FALSE
"15288",2023-12-24,42173.3030931101,15472.5890726579,2683.27294522707,3060.35684546582,3186.88920600593,25.2935353862361,"adstockedMedia","1_41_1",3,FALSE
"15289",2022-01-02,99.1029261211841,23.7201553961648,38.5797993457762,82.1486345987016,14.9152659523632,425.295820278355,"decompMedia","1_41_1",3,FALSE
"15290",2022-01-09,137.382538440222,49.4460502982516,70.8136733529083,188.739338480935,20.3783144902628,765.596268926292,"decompMedia","1_41_1",3,FALSE
"15291",2022-01-16,157.494040769659,46.5068370203473,63.0405223420887,81.2047217134605,17.7195170556774,598.178014241513,"decompMedia","1_41_1",3,FALSE
"15292",2022-01-23,170.420383088106,90.1179130667513,106.842992800603,141.857930141887,52.5327962627027,644.58283117933,"decompMedia","1_41_1",3,FALSE
"15293",2022-01-30,256.357413060667,77.2466812089928,45.7722255449642,242.645509606185,26.6487180010269,772.81289038807,"decompMedia","1_41_1",3,FALSE
"15294",2022-02-06,269.18693302568,34.2310336048785,66.937924765401,177.355143410938,130.430318881658,889.174583149735,"decompMedia","1_41_1",3,FALSE
"15295",2022-02-13,243.082129557383,17.5211911152516,115.305018835679,101.518126003937,133.382245718063,948.351693521907,"decompMedia","1_41_1",3,FALSE
"15296",2022-02-20,253.328329443421,52.2939627099812,114.086242409085,131.23769752696,117.956903129425,479.94616153116,"decompMedia","1_41_1",3,FALSE
"15297",2022-02-27,250.518718222171,40.6956753678357,96.5511004355197,68.0372515460169,174.681886480366,731.508383892614,"decompMedia","1_41_1",3,FALSE
"15298",2022-03-06,200.195325980248,66.227864515983,92.2587832390313,101.412414946257,60.9017864461352,914.593323467674,"decompMedia","1_41_1",3,FALSE
"15299",2022-03-13,176.121984854322,65.2087963389561,132.116614701652,89.7789103288973,24.4757184882738,445.982865694666,"decompMedia","1_41_1",3,FALSE
"15300",2022-03-20,203.408554061418,48.8359819211138,301.890561141067,126.182460828866,80.0815728789545,736.30115137091,"decompMedia","1_41_1",3,FALSE
"15301",2022-03-27,266.472507298816,25.2178666228138,125.280464656967,77.9221182510232,43.726197041132,714.400669592487,"decompMedia","1_41_1",3,FALSE
