"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","digital_spend_thetas","nps_score_thetas","radio_spend_thetas","search_spend_thetas","social_spend_thetas","tv_spend_thetas","digital_spend_alphas","nps_score_alphas","radio_spend_alphas","search_spend_alphas","social_spend_alphas","tv_spend_alphas","digital_spend_gammas","nps_score_gammas","radio_spend_gammas","search_spend_gammas","social_spend_gammas","tv_spend_gammas","cluster","n","top_sol"
"17","1_30_4",0,0.492834445350926,0.199329830940711,0.231380811887669,0.17513813816787,0.199329830940711,0.597734728989019,0.350128399422617,0.665583504912025,0.483587004100797,0.65331297193284,0.0761597535116356,0.671083293387656,0.574659955033452,0.716018846388894,0,0.82994403433979,0.989495765620588,0.272791042337366,0.643664339283766,0.839912314778795,1,0.357329345427431,0.827493021303197,6,32,FALSE
"18","1_31_2",0,0.528748190181022,0.232270152765955,0.221698511935845,0.168363431113576,0.232270152765955,0.86734681749416,0.703339459000455,0.415848934447991,0.400064888575833,0.579030771774987,0.034514253389835,0.51710259472187,0.562486749583712,0.94020810108743,0.464737181063172,0.880602894367524,0.433070936957774,0.320449266582546,0.645304240702839,0.671924092245133,0.465033328327401,0.535247239633076,0.802342082184246,6,32,FALSE
"19","1_31_3",0,0.577335648258511,0.169605070365155,0.18879948945351,0.0911061862454326,0.169605070365155,0.559933436197171,0.426858298650193,0.508838975926006,0.596819808608899,0.377891879987574,0.0444557364863206,0.456211054662475,0.293759997736487,0.878212605018005,0.438476544639504,0.866649511596944,0.850617793948189,0.441679160921279,0.648386404229686,0.504020945593173,0.589982300004759,0.146289683827768,0.963902648556,6,32,FALSE
"20","1_31_4",0,0.261031029931452,0.250854986491022,0.258751593805524,0.216207339919881,0.250854986491022,0.0201771731356993,0.421319167325614,0.460072112676216,0.265575140855955,0.30156006496516,0.742694944452729,0.0350422241861905,0.286710628468343,0.724425343556692,0.471824769517057,0.844244745155867,0.616215739743144,0.0921611531275947,0.430498228315298,0,0.299117675112746,0.465759375044602,0.678780643732211,5,12,FALSE
"21","1_33_1",0,0.241714360526209,0.25692145857631,0.266384473262282,0.21707364135402,0.25692145857631,0.0911015720132671,0.672731411859629,0.410196237876277,0.372203340115742,0.255784673616587,0.575146460205858,0.548313125197987,0.370942896267597,0,0.521683752389556,0.839864079366166,0.249727155906983,0.338060912533928,0.187288284323341,0.541544257881316,0.8321382543716,0.607588128103658,0.202063879353837,4,8,FALSE
"22","1_33_4",0,0.38066498269994,0.230642902447572,0.258169683512073,0.208934149091215,0.230642902447572,0.551167212732414,0.83612077546805,0.623539700420017,0.630808359458358,0.390504146757604,0.266973236312784,0.116109399867173,0.517741448500483,0.89643736594157,0.254253674852813,0.67957235729478,0.251171391617487,0.227303672903275,0.490922313088696,0.834769443659226,0.743071372941621,0.369133900543461,0.785302278374785,6,32,FALSE
"23","1_35_2",0,0.463871776381424,0.171592905648061,0.192407760235047,0.0895673077572853,0.171592905648061,0.769119575958922,0.224486671466453,0.567508329512082,0.551904649712979,0.0318206059225712,0,0.512892984138076,0.537013136153286,0.903052542190387,0.313519923166316,0.873608246781237,0.841722044258138,0.32692309164291,0.787161702077638,0.780440642737261,0.701808767576373,0,1,6,32,FALSE
"24","1_35_4",0,0.280590179088739,0.227124906797652,0.255013273374322,0.20537030865457,0.227124906797652,0.711399469823575,0.591313448414425,0.473064926641369,0.294492784286051,0.638503268232109,0.633110123919057,0.852155115760842,0.523926798776317,0.849519782094951,0.270892756831647,0.897751046752163,0.322793160818329,0.285792006724189,0.503200719817579,0.884533887493365,0.618037306017206,0.665913486179429,0.41802597794623,2,22,FALSE
"25","1_37_4",0,0.459510304553666,0.174361984217666,0.200282809217946,0.0896054346980622,0.174361984217666,0.597927161290402,0.316000994104785,0.567201897492179,0.510837475361654,0.514075120209068,0.0681901645771478,0.622106538388994,0.646649580901749,0.782887196966564,0.36868759322724,0.876680029213907,0.717804991359003,0.264176229227086,0.698965071939228,0.715304968887784,0.64904765156583,0.417727275757176,0.933056130288904,6,32,FALSE
"26","1_38_3",0,0.309478293748165,0.236321773613248,0.263317635725861,0.215199851241664,0.236321773613248,0.573009883552941,0.677814790460742,0.423738111199786,0.60331288248845,0.373229763313678,0.762049532744456,0.167167908896643,0.544445658232827,0.907632872801533,0.35807440021419,0.870322791273408,0.463355956500305,0.272130132404658,0.428054028360685,0.81514382978884,0.508110372692096,0.536964562382523,0.188675466014175,3,18,FALSE
